,Tweet,Abusive
0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,1
1,telat tau edan sarap gue gaul cigax jifla cal licew,1
4,kaum cebong kafir lihat dongok dungu haha,1
5,ya bani taplak kawan kawan,1
7,gue selesai re watch aldnoah zero kampret 2 karakter utama cowok kena friendzone bro xd uniform resource locator,1
9,enak ngewe,1
10,gue jari gue ukur nyali bacot,1
11,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1
14,bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,1
15,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,1
17,ari bek rapi monyet,1
18,cowok gantle gantle nama banci,1
20,anjing ya gue jarang ambek takut wkwk gue budak cinta,1
26,sih kerja delay mulu setan,1
29,nenek nenek heran cebong bohong,1
33,laku homo jaman now ngentot live blued gay video gvid lokal hangat uniform resource locator,1
35,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1
36,para bajing luka lady terima ganjar ratus kali lipat sanji selamat ulang laut jkt48,1
39,edan tuju fabiano,1
40,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
42,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1
48,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,1
49,ahok the best abai kaum kampret otak micin,1
50,sih otak tempurung laden lawan dungu makan hehe,1
51,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,1
55,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,1
56,gue nete,1
57,wkwk bani lowo,1
62,kali gue gemar korea pop omong teman teman gue idol gue banci homo,1
68,lengser jokowi bangsat,1
70,bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,1
71,iya cocot,1
74,x bicara bangkai,1
78,bunda ngentot yuk,1
79,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1
87,eh kasar kampang,1
89,cebong bang,1
90,najis banget gue mentwit barusan he,1
91,transgender anjing uniform resource locator,1
92,awas bintit intip titit kucing,1
93,bawel bawa asa bolot bodor wkwk ya deh,1
94,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1
97,maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,1
102,goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,1
103,cebong sewot,1
112,anak pecun hobi zina haha,1
117,ian pantat,1
118,orang pintar agama agama nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,1
120,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,1
121,gue mantan mantan gue sedih pikir tidur lo gue anak berengsek laki laki,1
123,2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter,1
127,cowok jago drasex ngentot adik luvian,1
128,kroasia kafir tau ajar kafir lupa kapling sorga,1
129,nya menteri suha o homo,1
132,kejar setor bangsat rupiah turun,1
134,bangkai hajar,1
141,admin tolol ai tolol ai tolol orang tolol,1
142,ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak uniform resource locator,1
146,gue kampret,1
147,memek lonte sodok kontol gede,1
149,bicara mulut sepe i banci beli kaca lihat bro,1
150,amin racist nada nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi habis obat tenang ya,1
151,tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak,1
153,ih pintar orang politik kaca oi tampang k k orang bego wkwk,1
154,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,1
155,percaya mulut buaya mu bawang,1
157,kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1
160,umuh persib persib kunyuk,1
163,eh muka merah merah cendol setan cuaca nih panas,1
164,berita saracen diframing katak tim prabowo anies sandi media tumpah sakit hati katak cebong ehe,1
166,sayang banget ya lihat perempuan kayak status tempel laki laki aduh nagita slavina blak blak ayu ting ting kampung viva uniform resource locator,1
168,cebong bilang kemarin eyel situ paksa cebong,1
169,lemah gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan durno,1
177,alah silit kebelet kasihan orang sayang media sosial gue sadar instansi kemarin gue cerita duuuhhh,1
179,2019 rakyat makan aspal beton solusi jitu miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden,1
184,kemarin hujat harap dasar bani kampret,1
185,fitnah sila ban apollinaris darmawan al alquran kitab sampah,1
186,monyet koloe bilang saudara ogah hidup ya hati comberan,1
199,sih tai doang belaganya langit karma idol flop gue tertawa keras,1
200,celeng kangen gue iya,1
204,maju maki mama bolot,1
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator,1
208,bego teman gue najis kesal gue,1
209,kafir kristen ulah,1
210,tau bau bau cir sipit buluk,1
213,anjir seram main,1
215,onta yaman nih gue depo asi,1
217,anak cocot ya,1
222,dongok bilang hacker haha,1
223,haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,1
224,bangsat gue selam 1,1
226,cebong kacung teman gue dungu tulang sumsum buang buang energi debat,1
227,ai korupsi sapi goblok,1
228,sinyal kontol pelihara niat sih login twitter doang susah open redtube setan,1
230,facebook anjir lupa,1
231,sih bilang alah kontol,1
232,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah cokorers,1
238,laku bodoh masuk kategori senang laku sontoloyo menganggu bangsa laku naif langsung bentuk intimidasi hadap ulama laku,1
240,kotor bahagia warga cebong nge i,1
243,wkwk bodoh bang,1
244,kayak orang bego bro b ego,1
246,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,1
247,orang orang bego minum amp makan kotor onta otak nya somplak,1
252,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung uniform resource locator,1
253,rabun budek gue tulis bicara,1
254,bismillah tahan sepo kutuk,1
255,brahahahaaa cebong nya ahoker cebong cebok,1
256,update status bikin tugas tugas selesai ya jancuk jembut,1
261,manusia bangsat,1
267,maaf kunyuk bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu biar jera nih orang uniform resource locator,1
271,sedia berengsek,1
273,dungu orang ganti presiden tau mikiiiir,1
274,bokep cewek bispak bandung ngentot crot unduh full uniform resource locator uniform resource locator,1
275,kampret complain raga tanggap fuck,1
276,kayak jablay grand theft auto jemput pakai mobil,1
277,lihat memek tante,1
279,ha lengkap orang bukti goblok sih,1
281,suka nete uji nasional maklum,1
282,nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki prediksi,1
286,bajing tengik,1
287,pakai buruh cina rakyat anggur dasar rejim kodok,1
288,,1
289,rupiah haneul cute pacar perek on retweet,1
292,kadang hidup kayak tai kadang berak orang beres tainya tangan iya,1
293,ih banci selotipan,1
297,tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1
298,belah duren ya dungu ya cebong maaf ya,1
303,pantat nih tusuk tusuk open bo wa 08157686707 gay berondong massage boy gayjaka a gay yogyakarta gay tangger,1
305,kayak orang nyosor nete,1
306,ngewe,1
307,jebur cebur,1
313,we pipis onta cecer mari bau pesing,1
316,kayak monyet,1
321,kontak retweet ya banget kenal tante jilboobs sange nini nama tante dea o,1
325,muslim hina iblis betina nista syariat,1
326,baby kafir buddha teroris myanmar,1
329,jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirullah tobat,1
331,sih bejat cabul kecut sih onta iya,1
333,adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,1
335,gue dongok,1
339,yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,1
342,langsung tag ainya berani ya bera i banci,1
345,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
348,ah asa hibur cebong bahagia presiden cebong tol cebong germo,1
352,yahudi bangkai jerman ibadah,1
355,hoaks kodok biawak roket sekop bangsat karbitan munafik 2019 ganti presiden 2019 presiden 2019 tenggelam jokowi sungai siak,1
359,vital inter bek kanan beda ya era maicon ambrosio cancelo bagus nhmmmm bera i simpul geblek ausilio,1
360,nama agama munafik,1
362,cium bau bau pecun uniform resource locator,1
367,sih royson jokowi kacung gue alas fundamental rezim sepe i sengaja masuk debt trap komunis cina north sumatera offshore wajib 2019 ganti presiden,1
368,wkwk mampus pepet uji ah,1
370,azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,1
371,laku bani cebong,1
374,anjir bekas silit,1
375,cebong panas ngawur,1
380,edan menang lihat ya ampun kakak r gue banget,1
382,perempuan kayak mending mati deh jelek sok make up a ist,1
383,jual gue kayak jablay,1
384,bijak tugas jajar kereta listrik doang tumpang doang suruh orang menge i menge i butuh orang bangkai,1
385,titit nya sambung pakai accessoris,1
387,banci gigih natural killer uniform resource locator,1
389,banci kampung heeee,1
390,gembel ganteng kasihan cinta asyik asyik hebat,1
393,najis,1
395,otak kayak bool deh mes makan silit,1
396,ganti rezim kacung cebong,1
399,jomlo jablay,1
400,perjaka jual sok sok an booking tante idiot anjir,1
401,rev 1 pilih ulama kafir munafik,1
408,culun mending kampung jess,1
409,goyang jilboobs mantap nih hyper kontol squi tonton live nya besok,1
415,ha bangkai nih truk,1
417,cebong kampret onta singgung laut,1
419,haha orang gila bicara cak micin biar otak encer cong omong ngawur muslim muslim silit tau babi,1
423,bot ih liebe ih a inya bot kasih ipad barusan cemplung jamban kuda,1
424,copot darmin nasution menteri ekonomi ekonomi bodoh turun daya beli jabat,1
425,bodoh anjir bodoh tertawa gue tertawa astagfirullah humor banget uniform resource locator,1
426,mata picek cuk norak lihat prestasi jokowi nguoblokkk tolol,1
434,aduh lucu banget adik kelas gue pas lapor bang field trip taman safari heran 1 nama teman arisan keluarga bawa 1 sekolah tai arisan,1
435,main anjing,1
437,ya iya gilir ramai bela pas idol mati sedih doang serbu gila gila sarap ya maaf,1
439,umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam,1
441,celeng nya bang acon susah banget xa,1
442,cari musuh dasar ana cebong kampret,1
445,juara tipu junjung bani kampret 212,1
