,Tweet,HS_Group
4,kaum cebong kafir lihat dongok dungu haha,1
5,ya bani taplak kawan kawan,1
18,cowok gantle gantle nama banci,1
26,sih kerja delay mulu setan,1
28,partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1
30,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,1
35,pegawai guardian training kayak mentang mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1
42,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1
49,ahok the best abai kaum kampret otak micin,1
54,benci umat islam,1
57,wkwk bani lowo,1
76,nikmat bijak usul partai komunis indonesia iya,1
77,umpama orang cina usir paksa indonesia,1
79,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1
102,goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,1
119,daftar calon presiden pilih presiden 2019 buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden,1
122,cina usak bangsa usir tuju,1
128,kroasia kafir tau ajar kafir lupa kapling sorga,1
135,onta mati minum,1
140,be aji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan era susilo bambang yudhoyono,1
141,admin tolol ai tolol ai tolol orang tolol,1
152,kabinet beranta pecah belah rezim,1
154,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,1
160,umuh persib persib kunyuk,1
164,berita saracen diframing katak tim prabowo anies sandi media tumpah sakit hati katak cebong ehe,1
179,2019 rakyat makan aspal beton solusi jitu miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden,1
184,kemarin hujat harap dasar bani kampret,1
185,fitnah sila ban apollinaris darmawan al alquran kitab sampah,1
190,becak warga binjai sita tenda be uliskan 2019 ganti presiden partai adil sejahtera radang bukti perintah panik takut,1
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator,1
209,kafir kristen ulah,1
226,cebong kacung teman gue dungu tulang sumsum buang buang energi debat,1
227,ai korupsi sapi goblok,1
228,sinyal kontol pelihara niat sih login twitter doang susah open redtube setan,1
240,kotor bahagia warga cebong nge i,1
242,buka busuk kubu anies sandi menang berkah uniform resource locator prabowo usaha cuci tangan,1
246,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,1
250,lembaga lembaga anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang ai politik kuasa pulang otot bubar komisi berantas korupsi,1
252,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung uniform resource locator,1
259,a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,1
262,ya cina kenal wisata haram indonesia haha,1
271,sedia berengsek,1
275,kampret complain raga tanggap fuck,1
282,nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki prediksi,1
288,,1
297,tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1
300,bubar hati amp front bela islam uniform resource locator,1
312,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir,1
326,baby kafir buddha teroris myanmar,1
327,indonesia merdeka indonesia jajah orang cina takbir allahu akbar uniform resource locator,1
339,yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,1
345,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
351,buddha bunuh muslim myanmar,1
352,yahudi bangkai jerman ibadah,1
355,hoaks kodok biawak roket sekop bangsat karbitan munafik 2019 ganti presiden 2019 presiden 2019 tenggelam jokowi sungai siak,1
363,henti konsumen wisata haji rumah tipu produsen wisata jiarah indonesia,1
366,bubar negara republik indonesia harga mati,1
370,azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,1
371,laku bani cebong,1
381,partai komunis indonesia alias ai korupsi indonesia ganyang,1
388,waspada cina komunis indonesia,1
396,ganti rezim kacung cebong,1
397,cina hak larang,1
398,hebat bicara cinta pegang alquran pegang hidup alquran bicara cinta perang bunuh penggal,1
417,cebong kampret onta singgung laut,1
439,umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam,1
445,juara tipu junjung bani kampret 212,1
448,fahri hamzah presiden komisi berantas korupsi bubar uniform resource locator,1
458,kafir haram pimpin monyet,1
466,bubar dewan wakil rakyat bubar save komisi berantas korupsi,1
478,komunis abad partai komunis indonesia kecoak makan kecoak,1
495,biadab oknum aparat keparat,1
510,balas usir buddha ajar etnis muslim rohingya singkir data sensus duduk myanmar,1
519,ustaz partai adil sejahtera yudi widiana tilap duit bahasa agama juz amp liqo felix kwetiau amp alumni 212 diam amp pura pura budek gilir bu,1
526,hajar ganyang partai komunis indonesia uniform resource locator,1
538,masyarakat tionghoa pancasialis orang jawa ekspos contoh nyata kwik ekonom ustaz felix siauw,1
540,negara kayak tipu bocah sekolah dasar dokumen hilang huh,1
541,allah subhanahu wa taala sembah dungu biadab ya,1
564,cina cina usir ya rusak sih kerja,1
565,ayo bangsa indonesia sih etnis cina ahok,1
571,dungu islam alquran ajar amoral ansor agama islam posisi moral,1
582,cebong kasih fakta bilang dusta cebong kasih dusta bilang realita cebonger si bikin gemas,1
584,rakyat kaum bani cebong,1
589,orang orang maha nan suci sih hina presiden lepas umur keluh tahan cina tahan keluh perintah orde su,1
594,eh wa awan selandia kampret berita kampret sebar kasih konferensi pers laku,1
598,bro ciri ciri cebong adu domba sok lugu nama cebong buzzer receh,1
604,dah shopee kampang,1
611,cebong senang lihat jaya anis sirik parah junjung puji habis habis laku buruk,1
622,tuhan iblis iblis tuhan agama onta,1
624,jenderal propaganda perang propaganda jual utama partai komunis indonesia cina,1
627,tertawa baris cebong sakit hati pakai isu saracen serang anies sandi gagal lantik,1
638,cebong jago bikin sebar hoaks,1
640,partai komunis indonesia ramai ramai antek komunis opini nyata abur bangkit partai komunis indonesia,1
646,bicara remeh temeh surat pemberitahuan kalajengking beliau tau oposisi surat pemberitahuan nyinyir stres strok dosen laku bacot gede hasil karya anak asuh mayor dungu,1
650,ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,1
651,eh dungu mention mention gue puter alun gue forward berita analisa kelompok manusia homo cerdas wkwk wkwk wkwk,1
652,hehe tipikal bani bodoh bantah danga dungu,1
656,thread tenaga kerja indonesia malaysia jam kerja enam belas jam kilang jahanam,1
664,muncul antek antek partai komunis indonesia berani muncul terang terang mudah mudah perintah tinggal diam uniform resource locator,1
671,asa walubi umat buddha indonesia usir bantai,1
682,nasional demokrat bahan te awa anak indonesia omong kader kader bunyi calon wakil presiden jokowi khayal kader kader ai rakyat peduli kecuali 2019 ganti presiden,1
692,bubar komisi berantas korupsi biar leluasa koruptor kaya negeri,1
695,otoriter bukti ott ai politik ya tangkap,1
697,cebong badut nya cina kipas uang receh galak main x,1
698,berkat salat aji berkat ajar ilmu kembang kafir lukman,1
699,heran budaya indonesia orang sepe i a eria fahri fadli jual teater narasumber berita kamera cari teater sengaja insentif monyet,1
701,cina non muslim bantai sih cina usir,1
706,asa kemarin kemarin pakai axis aman aman deh rumah 2 minggu kacrut kali sih jaring,1
712,alquran kitab sampah bahaya kacau,1
718,bubar dewan wakil rakyat komisi berantas korupsi bodoh nya,1
725,tolak atur presiden tenaga kerja asing tolak atur presiden tenaga kerja asing 2019 ganti presiden 2019 presiden hai mahasiswa indonesia nih hadiah lipstik kolor orang kakek tukang becak,1
730,anggota dewan wakil rakyat pamer dungu biadab islam alquran merintahkan penggal kafir laksana bilang ham,1
732,bani kocak nih dukung siwanbango bego,1
737,bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki hadap perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj,1
740,bahas islam rusak nilai kuat karakter revitalisasi didik nilai,1
742,moga etnis cina indonesia duduk perintah kayak singapura,1
753,indonesia jajah cina,1
754,bubar dewan wakil rakyat butuh,1
757,cocot cocot cocot 2019 bubar gerindra,1
761,burma buddha teroris,1
775,iklan ahok jahat rezim jokowi kampret setan iblis dajjal bangkit kubur gembira pesta pora belenggu,1
776,marak orang sipit masuk indonesia alih hati lah syiah ah rafidhah biang kerok ronta kudeta negara muslim ahlusunah dunia,1
787,bani kampret bani kecebong pilih bani adam manusia,1
791,rezim sales rezim tipu citra palsu,1
793,sungguh rezim kocak indonesia sekarat umat muslim pilah allah subhanahu wa taala golong muslimin munafik,1
803,bahasa arab tuhan maha esa pancasila bahasa indonesia,1
805,tim sukses anies sandi mentwit kacau sok jago,1
808,kicau lihat tolol goblok tolol pilih,1
816,generasi tinja bahagia pimpin nya koar koar anti asing jaman pilih kepala daerah selesai pilih kepala daerah bela tinja nya asing enak,1
817,anak anak partai komunis indonesia muncul jejak,1
827,ganyang partai komunis indonesia mari dukung prabowo 2019,1
833,buang islam sakit laku manusia,1
834,etnis cina juang khianat antek belanda,1
852,muslim allah subhanahu wa taala muhammad bejat nabi,1
863,ekonomi pegang gerindra hancur negara masak saran cetak uang bayar hutang hutang utang negara bilang biaya produksi cetak uang murah ekonomi comberan kecoa,1
876,jongos cina merdeka indonesia cina kasih,1
880,hapus teroris islam efektif alquran kitab teroris,1
888,iman allah subhanahu wa taala dungu biadab dungu biadab bangsa,1
902,mobile legend babi anjing xnk kasih rank kimakkk tim noob babi bocah setan,1
911,dukung koruptor bubar komisi berantas korupsi situ isu isu partai komunis indonesia dasar koruptor,1
913,tenaga kerja asing cina manja,1
918,indonesia ambil alih cina boikot produk cina,1
933,manis butut goblok soler out herjos out,1
935,hina malu fasilitas perintah bikin bani daster tau malu harga makan gaji negara hina haram,1
939,anak pepo tampang doang bawa bangsa foto model cebong urus biar rewel x9,1
956,munir kait rezim jokowi anti islam twitkan moga,1
962,aduh tolol ya dukung rezim ya kayak,1
963,diktator jokowi jongos organisasi jagal manusia nu atur siasat kampanye,1
964,ngawur sembarang panitia khusus hambat komisi berantas korupsi lidi teman teman koruptor bubar dewan wakil rakyat sarang koruptor,1
972,ngoaaahahaaa saking kejang kejang nya sih bani kuda prabowo bin onta baca tulis gue selingkuh kuda prabowo ngoaaahahaaaa xa,1
977,demo jilid jilid nyata kitab suci fiksi tuju utama gera bela islam jilid jilid versi 212 motif politik jatuh ahok ahok korban,1
982,dukung prabowo surat pemberitahuan arb sda orang orang bejat tabiat kasar masuk orang,1
991,tuju usir buddha indonesia,1
992,hina islam muhammad budi hadap suku ajar salat pahala allah subhanahu wa taala,1
993,bubar ikat alumni universitas indonesia oi,1
995,cepat islam nyata sesat sesat bank syariat,1
1001,lt strong dasar cebong dungu 7 turun lt strong,1
1002,serius nih berita polisi politik berani tukang becak doang pakai takut ya power sindrom landa istana lawan tukang becak,1
1006,serah nasib bangsa orang orang abdi meng kacung cukong cukong asing penghianat negara republik indonesia modal dana kampanye 2019 ganti presiden,1
1009,aimu partai demokrasi indonesia juang bajing,1
1010,kaum 1 2 kafir otak junk food nya kelit catut islam giat giat rusak aqidah islam,1
1013,alaaaahhhhh omong cebong arah pakai tol kelok 1000 sok sok islam bong,1
1014,dungu biadab bangsa ajak sembah sembah allah subhanahu wa taala dungu biadab,1
1017,binatang kutuk,1
1018,bilang anti asing asing asong kafir kafir kampretttt nyata manusia munafik suka rupa asing impo bawang puti,1
1024,ganti presiden celeng langsung kelojot salah rocky gerung bilang celeng dungu stabil,1
1035,gilir sodor fakta cebong diam cebong sengsara dukung dil otak kontaminasi gerak cepat pikir waras,1
1040,cebong girang kibul najis bong mata picek,1
1042,ayat kaji pengga kepala pancung ujung jari 8 12,1
1047,jend suha o 1965 nasib bangsa indonesia negara komunis ateis,1
1051,bikin film bakar bakar sekolah citra uniform resource locator,1
1056,hati hati orang orang kader gus dur pribumi antek cina pasang rezim keprek,1
1085,teriak allah hu barbar rusak telinga fahri diskusi buang islam dewan wakil rakyat,1
1086,kkkkkkkkkkkkkk cebong iq ratus sp i junjung dungu plonga plongo 2019 ganti presiden,1
1087,isu manusia rohingya bukti ketidakcermatan tim kelola buah isu,1
1097,salah ajar lihat kacamata acara televisi salah laku positif banget dasar tolol kembang,1
1101,anti bineka cebong tuduh umat islam,1
1103,dalih 4 pilar majelis musyawarat rakyat dungu biadab bangsa dakwah islam seru sembah nyembah allah subhanahu wa taala benci kafir pecah bangsa,1
1104,kno gue bilang bencong hati makan duit perintah sah ganti dasar pancasila negara khilafah bencong nama,1
1111,oke point cebong dungu intelligence quotient kolam eyel ujung ujung kolam pokok ganti ya,1
1119,bijak indonesia be entangan cina,1
1125,usir buddha myanmar kacau sepe i myanmar,1
1135,rezim sensasional tindak peristiwa nalar dominan doa moga deklarasi islam cebong nusantara,1
1136,tentara saudi suriah isis banci lari libya uniform resource locator uniform resource locator,1
1143,buddha bantai muslim rohingya,1
1146,dusta pimpin agama kristen ya teh,1
1151,paham perintah pusat kes surat pemberitahuan biar anjing program program bego progresif tau ya biar masyarakat nilai program program hancur hancur ya nama anjing pose elang ngepet uniform resource locator,1
1167,masif cina antek komunis uniform resource locator,1
1168,asli bego kelar kelar nih ai kualitas kayak ai allah wkwk bego bani micin setia dukung bos calon presiden dumb ception,1
1172,proses buang islam main paksa laku sadar,1
