,Tweet,HS_Individual
0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok bego,1
10,gue jari gue ukur nyali bacot,1
11,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1
13,aktor huru hara 98 prabowo si lengser perintah jokowi nyata,1
14,bu guru enak jablay guru sekolah dasar sih kayak nikmat pecun guru,1
15,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,1
29,nenek nenek heran cebong bohong,1
40,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
48,didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,1
50,sih otak tempurung laden lawan dungu makan hehe,1
51,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,1
52,pinokio umur 3 2019 ganti presiden,1
55,provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,1
62,kali gue gemar korea pop omong teman teman gue idol gue banci homo,1
68,lengser jokowi bangsat,1
70,bajing homo hati hati hadap anak anak utama kamar mandi laki laki biar uniform resource locator,1
71,iya cocot,1
74,x bicara bangkai,1
81,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1
84,kitab suci agama bilang om dadak kalap,1
87,eh kasar kampang,1
89,cebong bang,1
91,transgender anjing uniform resource locator,1
94,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1
95,salah target ahok agenda utama lengser jokowi,1
96,kena tagar panas banget 2019 ganti presiden,1
100,prabowo kalah bantu jokowi citra ratap pilu,1
103,cebong sewot,1
105,gubernur djarot mayoritas ai politik dewan wakil rakyat daerah dukung ahok djarot payah ya uniform resource locator,1
112,anak pecun hobi zina haha,1
120,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,1
123,2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter,1
129,nya menteri suha o homo,1
132,kejar setor bangsat rupiah turun,1
133,moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps,1
134,bangkai hajar,1
136,uniform resource locator ahok tng was was hidup,1
137,sul teng ekses akibat sandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,1
148,jokowi mundur tutup uniform resource locator,1
149,bicara mulut sepe i banci beli kaca lihat bro,1
150,amin racist nada nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi habis obat tenang ya,1
151,tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak,1
153,ih pintar orang politik kaca oi tampang k k orang bego wkwk,1
155,percaya mulut buaya mu bawang,1
157,kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1
161,film muslim pilih ahok mati salat jamin laris,1
168,cebong bilang kemarin eyel situ paksa cebong,1
169,lemah gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan durno,1
176,nasihat kali ugal ugalan nih rezim eh negeri keburu hancur ekonomi moral meni kacaoooooo,1
186,monyet koloe bilang saudara ogah hidup ya hati comberan,1
191,jokowi mundur,1
199,sih tai doang belaganya langit karma idol flop gue tertawa keras,1
204,maju maki mama bolot,1
207,saracen akun kritis anggap saracen aneh jokowi,1
208,bego teman gue najis kesal gue,1
