,Tweet,HS_Physical
40,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
51,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden dungu,1
153,ih pintar orang politik kaca oi tampang k k orang bego wkwk,1
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator,1
253,rabun budek gue tulis bicara,1
297,tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1
339,yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,1
345,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
382,perempuan kayak mending mati deh jelek sok make up a ist,1
400,perjaka jual sok sok an booking tante idiot anjir,1
426,mata picek cuk norak lihat prestasi jokowi nguoblokkk tolol,1
480,mata lu picek ya janji jokowi tagih susilo bambang yudhoyono mata picek blok,1
483,as clara anak pintar dongok kocak cantik idot tau malu urat malu putus butt muka nya imut banget,1
501,mata picek mata lihat belah,1
563,bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit,1
612,busuk mawati agama islam takut gejala gila nih nenek,1
616,bera i cacat,1
645,woi bolot,1
676,percaya akun wa 081381413774 nya percaya video camera sex bukti video call detik pas suruh transfer alas nya ni muka nya kayak monyet uniform resource locator,1
737,bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki hadap perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj,1
843,ya goblok mas jaka sembung bawa sepeda sekolah bawa golok gila nih orang tua nya,1
859,heran setan iblis kabur takut dengar azan makhluk allah anteng dengar azan pura pura budek kuping kalah setan iblis,1
905,iya jual sih koh mata ih picek ta liak tas jlentrek sak tai dayak dik toko tas kulit lumpia sek kosong tas kulit kadal koh cocok lidah,1
920,sarap peduli bgstttttttt,1
926,fix sinting,1
943,tabayun ngomyang cocot busuk wkwk pelihara main isu sara bangga,1
971,baca berita nya nih aki ganggu jiwa nya 2019 amin kalah malaikat bilang kafir pro asing kasihan malaikat nge i urus calon presiden bawa aki gila,1
1040,cebong girang kibul najis bong mata picek,1
1092,sinting rusak,1
1220,buta ya om,1
1254,kh ruf bicara belaga budek belaga pilon sundul ganti presiden,1
1274,ganti presiden ndasmu atos umbar cocot he goblok,1
1286,presiden buta tuli pimpin tubruk tabrak budek dengar rakyat teriak lengser jokowi,1
1351,sih idiot jumawa menang kemarin 2019 ganti presiden,1
1358,makar omong zon suka adu domba bawa nama islam agama pegang hidup orang sok suci zon mulut dower bacot,1
1416,minat mail looking at whole ya dulunya cheater silap and maaf sampah sarap sshhh,1
1433,perempuan kayak mending mati deh jelek sok make up a ist,1
1450,ngakakkk banget kepick ya derita nice mochi gue lo taken lo cacat,1
1462,bencong idiot it berani akun asli sebar hoaks fitnah coba lihat akun cong,1
1529,wasit picek,1
1556,orang edan,1
1568,usaha kayak coba gue ky gue korban pergi pagi pulang malam sinting,1
1632,kaca bolot uniform resource locator,1
1646,lihat tampang tampang banci lgbt uniform resource locator,1
1675,muka cabul muka sih banci berani anonim,1
1714,adek ustad otak nangkring dengkul susah jalan bantu amplop biar oceh utara kidul adik ustad pelihara jenggot bandot doyan provokator santa santai adik ustad perut bun,1
1775,ogah ajak pilih jokowi idiot,1
1776,cacat otak pelihara,1
1777,mata picek a duit paksa beli hutang release 11 bank koar koar bayar dana urus dungu plus kocak ambil,1
1930,urus telur becus urus dasar cungkring peang 2 x,1
1943,alumni sekte togel kena ganggu jiwa karma,1
1969,cocot busuk,1
1973,salah muka jelek mulut selamat tinggal otak kotor dik e munafik dakwah laku bejat,1
2080,rep help lelang acc mata picek mentang mentang nama iya bilang gue usn,1
2141,kayak tai congor jablay lebar kayak anjing,1
2154,mata picek,1
2155,badan gue bicara hoi dengar tulang gue bunyi mata gue lelah lihat layar melulu tangan cape etik melulu he budek gue dengar bego maaf gue,1
2310,langsung strok wkwk orang picek tau,1
2328,kerja cornelis tionghoa stres gila,1
2355,sih rosa muka tugu batu nissan gentle kaum cebong,1
2368,peluang kerja rakyat warga asing nih bolot sektor,1
2405,muka kampung tampang laku sinkron,1
2433,hebat dungu bin idiot uniform resource locator,1
2448,sih kunyuk twitnya genap generalisasi kaum bacot mutu sepe i lihat sarap,1
2495,neng hormat pakai mulut bicara mohon maaf pakai silit,1
2501,mulut kampang,1
2596,presiden malu bangsa plonga plongo tulah toleh boneka idiot,1
2657,cacat,1
2699,puisi bajing wajah setan mulut iblis manusia binatang mesum seni monyet,1
2766,oi cebong ya dasar komunis ateis sifilis autis salib,1
2770,mata gue picek pakai koma koma,1
2914,mata picek bukti hoaks bukti km lorot otak,1
2944,main cacat masuk teco tolol,1
3056,malu tertawa dasar idiot,1
3143,jelek budek,1
3158,tulis gue paham gue otak gue otak otak autis kayak bikin thread goblok sel kulit mati,1
3196,situ sarap bera i anjir,1
3270,cacat,1
3362,gue anjing penasaran iya iya bicara maju garuda kuping budek,1
3416,otak tara gender telanjang dasar mesum cacat,1
3429,anjing tai goblok idiot bangsat monyet babi fuck kont kangen goblok iya tau kasar banget maaf,1
3487,peang sayang cinta bolot sok pintar lot gue,1
3518,congor persis congor onta,1
3573,budek sih gendut,1
3619,hai kampret goblok idiot bin bodoh baca pelihara peet kampret msu sehat turki israel hubung diplomatik uniform resource locator,1
3680,al alquran ya bang mulut kayak orang kafir bejat hina,1
3786,mark pilih si reena mata picek belah,1
3789,cacat,1
3837,amit amit dower burik keriput diposting anjing ogah lihat jijik,1
3948,asu wasit picek,1
3981,astaga bolot banget,1
4000,natural killer marah marah tk payah grab woi duduk diam diam rumah bodoh idiot orang bodoh tahap tk bwk bincang,1
4055,indah tai sapi mata picek,1
4093,hijrah hijrah arah parah sarana duit akhlak mabuk nikmat selangkang pecun dasar isi otak sempak susah ubah,1
4217,op rohingya teroris botak teroris buddha uniform resource locator,1
4282,pick we get love doang mata picek pas pick,1
4309,bilang gue bangsat mata amblek otak pakai baca pelan tafsir maksud gue ndasmu amoh bangsat orang lihat goblok mu pintar media sosial ngablak uniform resource locator,1
4461,ombudsman budek buta hadap reklamasi kerja rakyat jongos asing,1
4495,beda orang suka jelek jelek sesuai nya suka jelek jelek orang mein idiot,1
4558,idiot islam gerombol jual ayat agama islam dungu rawat beda salah rocky gerung islam fiksi nge i a iny,1
4564,bukti jokowi sembako pakai anggar belanja negara lapor k polisi bukti cocot mu ojok mangap koyok bajul,1
4582,anjing orang sarap pusing gue lihat,1
4615,calon legislatif budek amp ngawur bayang,1
4756,mata picek kerja alias ahok,1
4813,muka burik bangsat ngewe,1
4818,dungu idiot permanen,1
4832,agama om idiot cebur kolam butek banget sih,1
4843,luhut sih muka bajing usaha duit,1
4920,bodoh bera i tampil bro sifat kasih kristus pakai daster rambut gondrong jenggot bandot,1
4988,indonesia lawyers club prabowo serang minggu indonesia lawyers club mutu hadir orang gila kuping,1
