,Tweet,HS_Religion
4,kaum cebong kafir lihat dongok dungu haha,1
15,lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,1
30,islam nusantara produk jil pasar gencar antek jil jil anti arab pro asing almarhum kh hasyim muzadi,1
40,al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1
54,benci umat islam,1
94,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1
128,kroasia kafir tau ajar kafir lupa kapling sorga,1
133,moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a pusat selasa 10 4 13 00 indonesia barat perhaps,1
185,fitnah sila ban apollinaris darmawan al alquran kitab sampah,1
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1
209,kafir kristen ulah,1
246,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,1
278,kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,1
300,bubar hati amp front bela islam uniform resource locator,1
325,muslim hina iblis betina nista syariat,1
326,baby kafir buddha teroris myanmar,1
345,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1
351,buddha bunuh muslim myanmar,1
352,yahudi bangkai jerman ibadah,1
360,nama agama munafik,1
363,henti konsumen wisata haji rumah tipu produsen wisata jiarah indonesia,1
370,azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,1
398,hebat bicara cinta pegang alquran pegang hidup alquran bicara cinta perang bunuh penggal,1
401,rev 1 pilih ulama kafir munafik,1
419,haha orang gila bicara cak micin biar otak encer cong omong ngawur muslim muslim silit tau babi,1
439,umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam,1
444,nih akun hasil bodoh kaum 212 bikin kaum kaum biar jokowi anti islam wkwk,1
458,kafir haram pimpin monyet,1
510,balas usir buddha ajar etnis muslim rohingya singkir data sensus duduk myanmar,1
519,ustaz partai adil sejahtera yudi widiana tilap duit bahasa agama juz amp liqo felix kwetiau amp alumni 212 diam amp pura pura budek gilir bu,1
541,allah subhanahu wa taala sembah dungu biadab ya,1
571,dungu islam alquran ajar amoral ansor agama islam posisi moral,1
578,tolol aji agama islam sp i orang aji orang,1
583,cina kafir bangsat dasar komunis,1
650,ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,1
671,asa walubi umat buddha indonesia usir bantai,1
698,berkat salat aji berkat ajar ilmu kembang kafir lukman,1
701,cina non muslim bantai sih cina usir,1
705,orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali ubah ganti presiden rakyat ganti tuhan ganti rakyat,1
709,sih dakwa nista agama alias sih ahok babi jamban morfin uang rakyat jaka a,1
712,alquran kitab sampah bahaya kacau,1
730,anggota dewan wakil rakyat pamer dungu biadab islam alquran merintahkan penggal kafir laksana bilang ham,1
737,bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki hadap perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj,1
740,bahas islam rusak nilai kuat karakter revitalisasi didik nilai,1
761,burma buddha teroris,1
776,marak orang sipit masuk indonesia alih hati lah syiah ah rafidhah biang kerok ronta kudeta negara muslim ahlusunah dunia,1
793,sungguh rezim kocak indonesia sekarat umat muslim pilah allah subhanahu wa taala golong muslimin munafik,1
