,Tweet,HS_Strong
68,lengser jokowi bangsat,1
79,cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1
95,salah target ahok agenda utama lengser jokowi,1
122,cina usak bangsa usir tuju,1
134,bangkai hajar,1
215,onta yaman nih gue depo asi,1
246,mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,1
259,a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,1
278,kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,1
300,bubar hati amp front bela islam uniform resource locator,1
312,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir,1
323,duduk istana negara lengser jokowi salam,1
366,bubar negara republik indonesia harga mati,1
370,azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,1
427,hasil penjara ahok alumni 212 dukung rizieq lengser jokowi lebaran,1
448,fahri hamzah presiden komisi berantas korupsi bubar uniform resource locator,1
466,bubar dewan wakil rakyat bubar save komisi berantas korupsi,1
474,tuju ahoker lengser prabowo jokowi hancur penjara karuan uniform resource locator,1
510,balas usir buddha ajar etnis muslim rohingya singkir data sensus duduk myanmar,1
522,bela pancasila daulat negara dukung lengser ancam nyata,1
562,dengar ulama otot kriminalisasi ulama ya lengser jokowi,1
564,cina cina usir ya rusak sih kerja,1
565,ayo bangsa indonesia sih etnis cina ahok,1
681,jokowi serah ganti jokowi lengser jokowi kisas jokowi uniform resource locator,1
692,bubar komisi berantas korupsi biar leluasa koruptor kaya negeri,1
694,rezim orang kayak berani tampil layar kaca mohon ambil tindak,1
701,cina non muslim bantai sih cina usir,1
718,bubar dewan wakil rakyat komisi berantas korupsi bodoh nya,1
754,bubar dewan wakil rakyat butuh,1
827,ganyang partai komunis indonesia mari dukung prabowo 2019,1
833,buang islam sakit laku manusia,1
911,dukung koruptor bubar komisi berantas korupsi situ isu isu partai komunis indonesia dasar koruptor,1
964,ngawur sembarang panitia khusus hambat komisi berantas korupsi lidi teman teman koruptor bubar dewan wakil rakyat sarang koruptor,1
993,bubar ikat alumni universitas indonesia oi,1
1173,ahok tamat penjara ahok penjara ahok,1
1183,nya muara nya tanggung presiden solusi solusi turun jokowi,1
1219,lengser jokowi frop parah frop,1
1353,mari bubar dewan wakil rakyat uniform resource locator,1
1400,blokir jokowi mantap nyata dunia maya gambar tinggal realisasi dunia nyata lengser jokowi,1
1415,sumbu pendek jokowi koalisi negara partai komunis indonesia jokowi partai komunis indonesia lengser jokowi pusing hamba,1
1488,ganyang partai komunis indonesia bese a antek antek,1
1490,bubar komisi berantas korupsi fud orang sangka kalah nih,1
1566,usir jajah cina bumi indonesia,1
1624,butuh presiden ganyang partai komunis indonesia anti partai komunis indonesia,1
1636,modus sindikat cina tipu uang rakyat indonesia usir cina indonesia,1
1669,usir cina negara republik indonesia,1
1698,indonesia negara hukum jokowi ubah indonesia negara kuasa makar jokowi lengser jokowi,1
1705,coba prabowo level office boy peran jokowi klaim turun uniform resource locator,1
1741,burung dara terbang hulu burung nuri sayap biru suara pilih pilih presiden mancing ikan malam ikan makan campur ketan ayo menang ai islam hancur ai setan allahu akbar,1
1804,tuntut golkar pecat setya novanto dewan wakil rakyat bela mundur pimpin malu,1
1831,ayo buang alquran kitab sampah,1
1835,barakallah dukung 2019 ganti presiden 2019 ganti rezim hancurkanpa aisetan,1
1859,ahok korban rezim turun jokowi,1
1861,khianat negara republik indonesia komplot putus rugi negara tenggelam komplot moncong babi antek partai komunis indonesia,1
1882,ganyang partai komunis indonesia kuat tenaga,1
1887,bubar komisi berantas korupsi sop sadap sesuai putus mk,1
1936,partai politik cari ayo tenggelam partai demokrasi indonesia juang level kepala perintah rugi negara rugi bangsa 2019 ganti presiden 2019 presiden,1
1968,anggota dewan wakil rakyat grup bubar uniform resource locator,1
1979,indonesia beijing usir cina,1
1983,tagar ganti lengser jokowi,1
2010,hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hancur partai adil sejahtera hanc,1
2118,adab tuju adab buang islam buang islam biadab rang,1
2133,tangkap setya novanto sanggup bubar komisi berantas korupsi,1
2165,tuju bangsa indonesia butuh orang pahlawan nasionalis ajar cinta negara republik indonesia kaum radikal cinta kencing onta biadab singkir kerja rad,1
2185,partai komunis indonesia partai demokrasi indonesia p bubar partai demokrasi indonesia p,1
2201,ulang reformasi 98 jilid 2 turun jokowi,1
2266,tipikal bani 212 bin onta kampret cepat puji orang hormat cepat caci nya salam tuan guru bajang haha bubar partai adil sejahtera,1
2296,serang perintah jokowi bentar henti kuasa lengser pilih presiden,1
2327,presidential threshold langgar konstitusi rezim otoriter habis habis tabrak tubruk undang undang kali undang undang dasar jebol mk lengser jokowi,1
2332,lengser jokowi rejim anti subsidi rejim anti rakyat,1
2381,ahok cari cari celah serang saksi drama ahok kriminalisasi penjara ahok,1
2416,jokowi lengser ganti ahmad heryawan cebong solot contoh,1
2426,grafik posisi papa saham bubar komisi berantas korupsi uniform resource locator,1
2447,takut ganyang partai komunis indonesia bahaya embrio iblis kembang biak,1
2467,lengser lengser jokowi,1
2477,usir nih cina ki gila pamungkas bui gara gara anti cina cina tumpang negeri uniform resource locator,1
2485,biar jokowi lindung ahok 2019 lengser jokowi mantap,1
2512,usir buddha tanah jawa,1
2527,ayo jaga utuh negara republik indonesia tangkap nista agama stop kriminalisasi ulama uniform resource locator,1
2532,ganyang partai komunis indonesia kumpul keripik indonesia uniform resource locator,1
2537,usir duta negara kristen putus hubung diplomatik,1
2550,ayo muslim hantam lgbt rakyat paham buang islam parmusi dorong rancang undang undang anti paham lgbt,1
2644,penjara nista agama turun uniform resource locator,1
2655,bubar dewan wakil rakyat dewan wakil rakyat daerah bentuk panitia khusus hak angket rakyat beku dewan wakil rakyat dewan wakil rakyat daerah,1
2682,imigran tinggal myanmar 1948 imigran cina usir indonesia atur main,1
2792,ancam bunuh lucu ancam presiden banget sih tuntut pidana berat berat,1
2810,bubar dewan wakil rakyat,1
2811,biar hancur rezim uniform resource locator,1
2814,ganyang partai komunis indonesia anjing uniform resource locator,1
2866,pensiun kepala polisi republik indonesia uniform resource locator,1
2874,bubar dewan wakil rakyat diam uniform resource locator,1
2887,takbir ganyang partai komunis indonesia,1
2921,indonesia damai usir cina indonesia,1
2941,kemarin siantar copot spanduk mu curi curi kampanye demo panitia awas milu nih sih djarot main curang kampanye demo buruh tindak pasang calon curang no 2 keren register 40 pilih gubernur sumatera utara 2018 pilih kepala daerah sumatra utara,1
2945,lawan usir duta myanmar boikot urus buddha,1
2989,dana haji embat jokowi lengser negara gadai asing defisit anggar belanja negara amblas turun jokowi,1
3016,blokir jokowi harap lengser jokowi,1
3070,19 pimpin masjid pimpin ajak jalan syariat islam sungguh sungguh jatuh pimpin non muslim,1
3080,siloam cina usir andai ku mati anak anak ku paham filosofi hidup harga kaki jajah,1
3117,ngeri bangsa sih partai komunis indonesia biadab bangkit tolak bubar,1
3119,bubar panitia khusus komisi berantas korupsi polling rakyat parlemen biar bubar panitia khusus komisi berantas korupsi uniform resource locator,1
3215,khianat partai komunis indonesia bunuh jenderal partai komunis indonesia keblinger karno bubar partai komunis indonesia turun harga harga bubar kabinet tritura,1
3224,cina kuasa ekonomi media massa ayo usir indonesia,1
3238,usir cina indonesia,1
3256,kupas tuntas gebuk habis antek antek komunis,1
3276,coba usir cina 100 rakyat negara republik indonesia gembel negara republik indonesia kayak asing asing triliun uras negara republik indonesia stop tolol,1
3347,bubar komisi berantas korupsi kuat lembaga negara sistem politik,1
3423,nyata tol utang jepang 3 jokowi layak makzul turun jokowi,1
3456,nama sandirawa cundang bubar urus ecek ecek berani urus bantu likuiditas bank indonesia rumah sakit sumber waras,1
3459,tolak atur perintah ganti undang undang tolak rezim otoriter atur perintah ganti undang undang pintu masuk lengser jokowi,1
3472,bubar amp usir yordania,1
3486,jokowi mundur jenderal bantai 2019 pilih presiden,1
3547,turun jokowi rezim korban ahok,1
3557,beda paham kulit tangkap sih cina,1
3606,komisi berantas korupsi semrawut goblok bubar c ambang haha haram uniform resource locator,1
3629,tangkap ahok tuju,1
3696,lengser jokowi repo presiden bantu sanggup sejahtera rakyat,1
3714,lengser jokowi,1
3747,henti komisi berantas korupsi bubar dewan wakil rakyat rakus rakyat,1
3762,ahok pilih pimpin dasar agama langgar konstitusi babi bungkus congor pecah belah umat agama,1
3826,bangun kabinet tingkat daya beli lengser,1
3852,usir cina negara republik indonesia warga negara indonesia turun cina skrining,1
3861,ganyang partai komunis indonesia,1
3862,media milik cina ya usir biang pecah,1
3868,lihat rezim jual aset bangsa lengser jokowi garuda bangkrut,1
3880,dukung 200 nyata najwa komisi berantas korupsi dewan wakil rakyat bubar,1
3927,ahoker goblok tuntut lengser jokowi uniform resource locator,1
3929,detik sih be ahan nyata nya kitab suci fiksi fiktif aidit tantang umat islam 240 juta orang negeri orang,1
3930,bubar komisi berantas korupsi nyata lemah kuat adil tata usaha negara batal a inya bohong ott,1
3992,ai partai komunis indonesia indonesia pe nama ajar cina rusia partai komunis indonesia penghianat pancasila,1
4060,tolak bangkit partai komunis indonesia tolak atur perintah ganti undang undang anti islam jokowi diktator lengser jokowi rakyat tentara nasional indonesia uniform resource locator,1
4088,salah propaganda kaum komunis gaya jokowi gerombol lengser jokowi,1
4110,mari awas keliling jelang 30 si aktivitas antek komunis lapor ulama tentara nasional indonesia ganyang partai komunis indonesia,1
4122,4 ai pergi ai banteng nyungsep kunci tang rakyat tunggu sekolah 2019 langsung lengser jokowi revolusi,1
4140,when tumblr tiktok telegram are blokir by the government salah orang blokir aplikasi menteri komunikasi informasi goblok when a zionis kills one palestinian dasar yahudi amp boikot israel beli produk kafir,1
4155,kepung istana mari lengser orang no 1 ina jokowi orang daftar calon pegawai negeri sipil enak daftar calon pegawai negeri sipil mudah buka,1
4190,hukum jokowi turun konstitusional langgar undang undang lengser jokowi,1
4199,bubar hati tolak paham khilafah,1
4207,malam ganyang bakar bunuh partai komunis indonesia,1
4243,kuasa coba adil amanah tolak atur perintah ganti undang undang otoriter tolak atur perintah ganti undang undang anti islam lengser jokowi,1
4245,cina babi bikin rusak indonesia bantai,1
4266,bingung euy profesor doktor bicara sing turun jokowi,1
4406,bohong mimpi delusi nyata nya buruk hukum carut marut larut indonesia bangkrut turun jokowi,1
4444,ganyang partai komunis indonesia rakyat indonesia dukung uniform resource locator,1
4487,ahok jatuh mudah jokowi lengser,1
4499,ayo lengser 2019 kasih ampun,1
4550,cina bicara cina orang islam rohingya usir buddha myanmar kampret,1
4557,perintah ulama ganyang partai komunis indonesia uniform resource locator,1
4628,front bela islam dukung ahok kalah izin allah gusur gubernur koruptor nista agama uniform resource locator,1
4642,komisi berantas korupsi nya bubar gaji uang rakyat main dagel lenong bocah,1
4691,ki gila p titis jayabaya ri undang undang dasar 1945 usir cina,1
4697,ganyang partai komunis indonesia ber intelligence quotient 200 uniform resource locator,1
4722,dewan wakil rakyat bubar bangsa pe ahankan komisi berantas korupsi,1
4729,oke banget usir minoritas umat buddha indonesia ba er umat islam nya,1
4771,bunuh partai komunis indonesia anak balas dendam usir komunis cina reklamasi,1
4775,berani muhammad nabi gadungan dorong komisi lindung anak indonesia larang anak aji,1
4787,kepung yayasan lembaga bantu hukum indonesia bubar hati ikat alumni universitas indonesia oi uniform resource locator,1
4802,bubar komisi berantas korupsi ikan wenang komisi berantas korupsi polisi jaksa,1
4817,kaum fasis agama main lagu suka ganyang partai komunis indonesia,1
4839,kudeta revolusi lengser rezim jokowi panglima kepala polisi republik indonesia ganti tentara nasional indonesia polisi republik indonesia pimpin nasakom bahaya,1
4847,usir duta myanmar negeri kasih umat buddha tawar imbau henti siksa umat islam,1
4864,komisi berantas korupsi bubar rakyat wajib bubar wakil rakyat dewan wakil rakyat,1
4980,tunggu habis aset negara lengser jokowi,1
4998,ayo lengser jokowi dewan wakil rakyat majelis musyawarat rakyat cari aman rakyat kadal doang,1
5012,tangung blokir jokowi yuk ah tingkat lengser jokowi biar hidup bangsa negara negara republik indonesia tenang damai,1
5018,ganti kepala polisi republik indonesia ganti presiden lengser jokowi harga mati,1
5048,lengser jokowi sepe i main,1
5073,hati organisasi paham larang bumi pancasila bubar,1
5097,buddha radikal lindung usir duta myanmar save rohingya pray for rohingya,1
5107,agenda demo turun jokowi penjara ahok partai komunis indonesia besok demo suruh angkat prabowo presiden aksi 299 aksi maksa,1
5109,habis habis bang usir kafir cina nusantara racun akidah tukang sogok kristen lacur minum keras kafir anjing,1
5128,hati bubar,1
5131,ayo adakan referendum bubar dewan wakil rakyat ri komisi berantas korupsi,1
5176,ayo jaga utuh negara republik indonesia tangkap nista agama stop kriminalisasi ulama hypertext transfer protocol over secure socket layer t co dxidq4zqhv,1
5178,ayo lengser jokowi bugis,1
5179,tuju jokowi berani lengser gatot jokowi,1
5182,tangkap ahok kelompok nya laku palsu e kartu tanda duduk rupa khianat bangsa negara,1
5190,mari lengser presiden biar gila ahoker wkwk,1
5231,cocok komisi berantas korupsi bubar caci maki surat pemberitahuan anak,1
5309,ganyang partai komunis indonesia darurat partai komunis indonesia,1
5312,usir cina jongos jongos indonesia damai,1
5377,biar habis nih aset negara lengser jokowi uniform resource locator,1
5453,tangkap jenderal banci kayak prabowo bodoh,1
5476,ayo cepat revolusi lengser jokowi negeri azab allah subhanahu wa taala tegak hukum presiden batas,1
5503,ya demo bawa ria lengser jokowi istana blokir jokowi,1
5517,ganti rezim ganti presiden pilih pasang calon usung partai demokrasi indonesia juang pilih kepala daerah 27 juni 2018 2019 ganti presiden,1
5569,ky fungsi makan gaji buta habis anggar belanja negara hakim nakal rajalela bubar uniform resource locator,1
5634,tuju bubar komisi berantas korupsi angkat ketua badan berantas korupsi uniform resource locator,1
5658,usir duta myanmar indonesia tanah air negeri haram saudara umat buddha uniform resource locator,1
5720,turun tirani kalah tirani ahok tumbang tinggal tugas,1
5752,ragu ganyang partai komunis indonesia,1
5812,2017 ahok lengser misi 2018 lengser jokowi jaka akece,1
5815,lengser otot reklamasi,1
5908,bubar panitia khusus dewan wakil rakyat nya rakyat rugi bayar pajak gaji kerja nya sibuk,1
5932,on the way jakarta wusssstt turun jokowi,1
5933,rezim dablek utang pakai dana haji lengser jokowi,1
5963,lengser jokowi rekan gagal perintah,1
6089,organisasi masyarakat radikal front bela islam huh hati bubar radikal anti bineka anti cina kristen sadar usir suriah suruh gabung isis,1
6110,lengser jokowi langgar undang undang becus kelola negara,1
6124,menteri capai target ganti presiden janji lengser,1
6139,duta myanmar berani usir besok habis salat gerebek duta buddha indonesia gagu,1
6164,bubar hati presiden jokowi nilai diktator uniform resource locator,1
6191,lengser indonesia,1
6216,setya novanto bebas sok dukung bubar bentuk lembaga bersih,1
6246,turun jokowi makan nya minum nya teh botol nya muara nya turun jokowi,1
6260,presiden tolong serah daftar 100 orang merana 2019 ganti presiden,1
6265,rejim partai komunis indonesia lengser jokowi pimpin tukang kriminalisasi ulama,1
6286,ayo bangsa indonesia sih etnis cina perompak aset negara,1
6334,putus hubung diplomatik myanmar jokowi turun uniform resource locator,1
6402,hakim bubar komisi berantas korupsi,1
6418,tugas umat islam indonesia berat tegak hukum lengser jokowi,1
6479,yusril halang halang i bubar hati lengser jokowi,1
6485,bubar dewan wakil rakyat,1
6488,bubar komisi berantas korupsi komisi berantas korupsi pakai alat politik perintah,1
6547,dewan wakil rakyat bubar fungsi habis anggar ladang korupsi uang mahar,1
6557,negeri selamat 1 syarat lengser jokowi jaga negara republik indonesia selamat negeri,1
6563,usir buddha indonesia diam lihat bantai uniform resource locator,1
6577,lengser jokowi biar lihat goblok,1
6590,iya negara pimpin orang paham kelola negara lengser jokowi,1
6622,layak bubar mari referendum rakyat bubar dewan wakil rakyat,1
6644,seriawan hamid marah nilai presiden amp jajar potensi penghianat bangsa kutuk kelak petaka negeri,1
6656,allah subhanahu wa taala paham toleransi buang ajar toleransi indonesia gabung sabang merauke 2016,1
6660,tuju usir turun arab india cina masuk zul uniform resource locator,1
6706,ganyang partai komunis indonesia wajib jaga negara republik indonesia pancasila uniform resource locator,1
6721,siapppp tunggu 2019 cepat jokowi lengser negeri kacau balau,1
6743,hancur partai demokrasi indonesia juang bese a antek 2nya kumpul kafirun munafik,1
6769,ganyang partai komunis indonesia perang buka generasi partai komunis indonesia umat islam,1
6813,usir cina cina indonesia indonesia kuasa bebas jajah,1
6851,usir cina indonesia rusak bangsa uniform resource locator,1
6899,kepung kantor jaka a,1
6907,iya ahok pimpin nista agama penjara hypertext transfer protocol over secure socket layer t co yhho40qwxs,1
